transaction_id,week,store_id,customer_id,channel,treatment_group,segment,net_sales,gross_margin,converted
T01S01000,1,S01,C0051,ecommerce,treatment,Value,141.36,49.47,1
T01S01001,1,S01,C0058,store,treatment,Core,81.06,34.05,1
T01S01002,1,S01,C0065,store,treatment,Premium,80.53,33.82,1
T01S01003,1,S01,C0072,store,treatment,Value,79.22,33.27,1
T01S01004,1,S01,C0079,store,treatment,Core,66.09,23.13,0
T01S01005,1,S01,C0086,ecommerce,treatment,Premium,117.15,49.2,1
T01S01006,1,S01,C0093,store,treatment,Value,91.97,38.63,1
T01S01007,1,S01,C0100,store,treatment,Core,116.27,48.83,1
T01S01008,1,S01,C0107,store,treatment,Premium,101.27,35.44,1
T01S01009,1,S01,C0114,store,treatment,Value,99.78,41.91,1
T01S01010,1,S01,C0121,ecommerce,treatment,Core,67.69,28.43,0
T01S01011,1,S01,C0128,store,treatment,Premium,81.96,34.42,1
T01S01012,1,S01,C0135,store,treatment,Value,66.8,23.38,0
T01S01013,1,S01,C0142,store,treatment,Core,128.84,54.11,1
T01S01014,1,S01,C0149,store,treatment,Premium,97.8,41.08,1
T01S01015,1,S01,C0156,ecommerce,treatment,Value,63.89,26.84,0
T01S01016,1,S01,C0163,store,treatment,Core,109.27,38.24,1
T01S01017,1,S01,C0170,store,treatment,Premium,94.95,39.88,1
T01S01018,1,S01,C0177,store,treatment,Value,86.22,36.21,1
T01S01019,1,S01,C0184,store,treatment,Core,103.82,43.6,1
T01S01020,1,S01,C0191,ecommerce,treatment,Premium,100.26,35.09,1
T01S01021,1,S01,C0198,store,treatment,Value,82.08,34.47,1
T01S01022,1,S01,C0005,store,treatment,Premium,109.27,45.89,1
T01S01023,1,S01,C0012,store,treatment,Value,84.16,35.35,1
T01S01024,1,S01,C0019,store,treatment,Core,91.49,32.02,1
T01S01025,1,S01,C0026,ecommerce,treatment,Premium,125.15,52.56,1
T01S01026,1,S01,C0033,store,treatment,Value,94.0,39.48,1
T01S01027,1,S01,C0040,store,treatment,Core,93.15,39.12,1
T01S01028,1,S01,C0047,store,treatment,Premium,104.67,36.64,1
T01S01029,1,S01,C0054,store,treatment,Value,81.05,34.04,1
T01S01030,1,S01,C0061,ecommerce,treatment,Core,63.41,26.63,0
T01S01031,1,S01,C0068,store,treatment,Premium,104.78,44.01,1
T01S01032,1,S01,C0075,store,treatment,Value,92.75,32.46,1
T01S01033,1,S01,C0082,store,treatment,Core,86.36,36.27,1
T01S01034,1,S01,C0089,store,treatment,Premium,115.17,48.37,1
T01S01035,1,S01,C0096,ecommerce,treatment,Value,96.76,40.64,1
T01S01036,1,S01,C0103,store,treatment,Core,71.52,25.03,0
T01S01037,1,S01,C0110,store,treatment,Premium,116.79,49.05,1
