customer_id,segment,loyalty_tier,region,prior_90d_spend,eligible_flag
C0001,Core,Member,Northeast,87.5,Y
C0002,Premium,VIP,South,105.0,Y
C0003,Value,None,South,122.5,Y
C0004,Core,Member,Midwest,140.0,Y
C0005,Premium,VIP,Midwest,157.5,Y
C0006,Value,None,West,175.0,Y
C0007,Core,Member,West,192.5,Y
C0008,Premium,VIP,Northeast,210.0,Y
C0009,Value,None,Northeast,227.5,Y
C0010,Core,Member,South,245.0,Y
C0011,Premium,VIP,South,70.0,Y
C0012,Value,None,Midwest,87.5,Y
C0013,Core,Member,Midwest,105.0,Y
C0014,Premium,VIP,West,122.5,Y
C0015,Value,None,West,140.0,Y
C0016,Core,Member,Northeast,157.5,Y
C0017,Premium,VIP,Northeast,175.0,Y
C0018,Value,None,South,192.5,Y
C0019,Core,Member,South,210.0,Y
C0020,Premium,VIP,Midwest,227.5,Y
C0021,Value,None,Midwest,245.0,Y
C0022,Core,Member,West,70.0,Y
C0023,Premium,VIP,West,87.5,Y
C0024,Value,None,Northeast,105.0,Y
C0025,Core,Member,Northeast,122.5,Y
C0026,Premium,VIP,South,140.0,Y
C0027,Value,None,South,157.5,Y
C0028,Core,Member,Midwest,175.0,Y
C0029,Premium,VIP,Midwest,192.5,Y
C0030,Value,None,West,210.0,Y
C0031,Core,Member,West,227.5,Y
C0032,Premium,VIP,Northeast,245.0,Y
C0033,Value,None,Northeast,70.0,Y
C0034,Core,Member,South,87.5,Y
C0035,Premium,VIP,South,105.0,Y
C0036,Value,None,Midwest,122.5,Y
C0037,Core,Member,Midwest,140.0,Y
C0038,Premium,VIP,West,157.5,Y
C0039,Value,None,West,175.0,Y
C0040,Core,Member,Northeast,192.5,Y
C0041,Premium,VIP,Northeast,210.0,Y
C0042,Value,None,South,227.5,Y
C0043,Core,Member,South,245.0,Y
C0044,Premium,VIP,Midwest,70.0,Y
C0045,Value,None,Midwest,87.5,Y
C0046,Core,Member,West,105.0,Y
C0047,Premium,VIP,West,122.5,Y
C0048,Value,None,Northeast,140.0,Y
C0049,Core,Member,Northeast,157.5,Y
C0050,Premium,VIP,South,175.0,Y
C0051,Value,None,South,192.5,Y
C0052,Core,Member,Midwest,210.0,Y
C0053,Premium,VIP,Midwest,227.5,Y
C0054,Value,None,West,245.0,Y
C0055,Core,Member,West,70.0,Y
C0056,Premium,VIP,Northeast,87.5,Y
C0057,Value,None,Northeast,105.0,Y
C0058,Core,Member,South,122.5,Y
C0059,Premium,VIP,South,140.0,Y
C0060,Value,None,Midwest,157.5,Y
C0061,Core,Member,Midwest,175.0,Y
C0062,Premium,VIP,West,192.5,Y
C0063,Value,None,West,210.0,Y
C0064,Core,Member,Northeast,227.5,Y
C0065,Premium,VIP,Northeast,245.0,Y
C0066,Value,None,South,70.0,Y
C0067,Core,Member,South,87.5,Y
C0068,Premium,VIP,Midwest,105.0,Y
C0069,Value,None,Midwest,122.5,Y
C0070,Core,Member,West,140.0,Y
C0071,Premium,VIP,West,157.5,Y
C0072,Value,None,Northeast,175.0,Y
C0073,Core,Member,Northeast,192.5,Y
C0074,Premium,VIP,South,210.0,Y
C0075,Value,None,South,227.5,Y
C0076,Core,Member,Midwest,245.0,Y
C0077,Premium,VIP,Midwest,70.0,Y
C0078,Value,None,West,87.5,Y
C0079,Core,Member,West,105.0,Y
C0080,Premium,VIP,Northeast,122.5,Y
C0081,Value,None,Northeast,140.0,Y
C0082,Core,Member,South,157.5,Y
C0083,Premium,VIP,South,175.0,Y
C0084,Value,None,Midwest,192.5,Y
C0085,Core,Member,Midwest,210.0,Y
C0086,Premium,VIP,West,227.5,Y
C0087,Value,None,West,245.0,Y
C0088,Core,Member,Northeast,70.0,Y
C0089,Premium,VIP,Northeast,87.5,Y
C0090,Value,None,South,105.0,Y
C0091,Core,Member,South,122.5,Y
C0092,Premium,VIP,Midwest,140.0,Y
C0093,Value,None,Midwest,157.5,Y
